Berkshire_Vol.,Berkshire_Price_MA_50,Berkshire_Price_EMA_12,Berkshire_Price_Volatility_30,Berkshire_Price_Lag_7,Berkshire_Price_Lag_30,Berkshire_Price_BB_Upper,Berkshire_Price_BB_Lower,Berkshire_Price_RSI_14,Berkshire_Price_ROC_10,Natural_Gas_Price,Crude_oil_Price,Copper_Price,Bitcoin_Price,Platinum_Price,Ethereum_Price,S&P_500_Price,Nasdaq_100_Price,Apple_Price,Tesla_Price,Microsoft_Price,Silver_Price,Google_Price,Nvidia_Price,Netflix_Price,Amazon_Price,Meta_Price,Gold_Price
7619.0,552641.44,546545.5205256655,0.007851147744972952,545900.0,551550.0,555675.7383089785,535626.8616910216,51.44780724994546,1.5922114047287828,2.882,77.6,3.8335,37454.1,923.4,2021.49,4547.38,16027.06,191.45,235.6,377.44,23.959,136.25,485.2382,474.47,146.13,339.97,1990.7
7619.0,551893.24,546183.1327524862,0.007773065535819869,543905.0,556050.0,554996.2652512381,535607.1347487618,57.26875303587537,0.33093962886825423,3.131,75.89,3.7345,36595.4,905.0,1960.8,4514.02,15837.99,189.69,234.3,369.85,23.852,135.31,485.2382,465.91,145.18,335.04,1984.7
7320.0,551265.54,546252.6507905652,0.007563439105233252,546869.0,549787.0,555113.5199195736,535705.5800804265,65.24253795572693,0.7781878786314422,3.239,72.9,3.7025,36161.2,898.4,1961.76,4508.24,15833.17,189.71,233.59,376.17,23.933,136.93,485.2382,466.95,142.83,334.19,1987.3
7619.0,550421.94,545675.319899709,0.0073044199793835425,547445.0,542625.0,554607.4031765291,535485.696823471,61.8868787146496,-0.6228246931672454,3.362,76.66,3.7185,37874.9,901.25,2058.93,4502.88,15817.18,188.01,242.84,369.67,23.538,134.62,485.2382,461.94,143.2,332.71,1964.3
7230.0,549593.94,544402.1937612923,0.007452544746225411,549500.0,545000.0,552833.4997825461,535419.600217454,47.08128234254701,-1.1959809157849222,3.106,78.26,3.6835,35549.3,890.7,1979.1,4495.7,15812.47,187.44,237.41,370.27,23.132,133.62,485.2382,448.65,145.8,336.31,1966.5
7619.0,548573.7,542384.6254903242,0.007710277999760636,549520.0,543750.0,553309.3573534017,533148.5426465982,33.9767448570357,-2.849128401865897,3.197,78.26,3.666,36478.3,863.6,2054.18,4411.55,15482.79,184.8,223.71,366.68,22.358,132.09,485.2382,444.62,142.59,329.19,1950.2
7619.0,547687.2,540769.4523379666,0.0077173225882653474,547625.0,543635.0,553589.9830374675,531365.8169625326,35.061581247516884,-2.8421119929855965,3.033,77.17,3.587,37303.0,845.6,2077.78,4415.24,15529.12,186.4,214.65,369.67,22.281,132.59,483.35,447.24,143.56,328.77,1937.7
7080.0,546832.16,538839.5365936641,0.007797250860122686,547836.0,542600.0,554675.6147889866,529102.6852110134,25.04447519272584,-3.871701546860784,3.041,75.74,3.6405,36700.5,864.3,2120.16,4347.35,15187.9,182.41,209.98,360.69,22.905,130.24,469.5,435.15,140.6,320.55,1969.8
7250.0,546082.7,536965.7617331004,0.007797380158981957,544190.0,541000.0,555736.7618609916,526929.5381390085,25.35231398107652,-4.15999417673606,3.106,75.33,3.638,35636.9,871.5,1889.29,4382.78,15313.24,182.89,222.11,363.2,22.728,131.84,465.74,436.65,142.08,319.78,1957.8
7320.0,545421.98,535167.9522357003,0.007721699965735675,546635.0,543740.0,556736.1467332004,524936.1532667996,17.680170064972003,-4.080346952750514,3.14,77.37,3.679,35426.1,898.55,1885.97,4378.38,15296.02,181.82,222.18,360.53,22.589,130.97,459.55,434.61,142.71,318.82,1973.5
7619.0,544816.78,533826.7288148233,0.006645852668866402,542500.0,554650.0,557346.2639879592,523046.0360120408,19.11864207336805,-3.9037230119962962,3.264,80.82,3.719,35042.0,917.6,1900.98,4365.98,15154.93,179.23,219.27,356.53,23.234,130.25,457.51,434.74,139.74,315.8,1988.6
7619.0,544503.54,533824.9243817736,0.0071758926513074564,537400.0,551182.0,557113.7939074718,522420.5060925283,30.046052464188477,-1.9065032433525086,3.515,80.51,3.6815,34718.7,940.95,1832.29,4358.34,15099.49,176.65,219.96,352.8,23.285,129.1,450.05,432.36,138.6,314.6,1999.2
7150.0,544205.34,533288.782169193,0.006944265565851922,531288.0,544478.0,556956.8847972561,521370.0152027438,27.571448617802517,-2.9809653607983377,3.472,82.46,3.6725,34931.4,930.6,1800.27,4317.78,14919.54,177.57,218.51,348.32,22.846,127.49,435.06,424.71,138.07,310.87,1993.5
7400.0,543729.92,531821.1233739326,0.00695977720154465,531886.0,549760.0,556815.155129416,519296.64487058396,24.843005858304892,-3.456405529953921,3.494,80.44,3.649,35423.8,934.9,1846.6,4237.86,14664.91,173.97,205.66,346.07,22.79,126.45,423.25,420.19,137.0,311.85,1987.5
6610.0,543050.42,529667.8736240969,0.006757946156678683,528225.0,555800.0,557336.2061108008,516167.59388919914,21.776665977015824,-3.642538146631935,3.575,81.02,3.649,34650.6,944.9,1815.13,4193.8,14409.78,170.77,200.84,338.11,22.952,124.08,407.8,411.69,133.09,301.27,1994.3
7619.0,542277.82,527113.5853742358,0.006647729290024503,526660.0,549240.0,557606.2424563998,512517.1575436001,21.32974705698126,-3.4299664212253944,3.352,82.31,3.6585,34477.9,939.9,1809.05,4166.82,14335.51,170.29,197.36,337.31,23.396,124.46,411.61,410.08,132.71,302.66,2005.6
7619.0,541193.52,523461.495316661,0.007304461417950071,525280.0,546907.0,558682.7516278394,507033.64837216056,14.844130936514645,-5.360359174710371,3.164,85.54,3.646,33901.8,901.5,1779.54,4117.37,14180.42,168.22,207.3,329.81,22.774,122.17,405.0,397.87,127.74,296.73,1989.0
7210.0,540266.02,521409.72680640547,0.007628109703425148,526450.0,540000.0,557367.4043292745,504411.49567072536,24.762632325657535,-3.42657011690094,3.214,83.21,3.5845,34153.7,909.0,1803.13,4137.23,14109.57,166.89,205.76,327.89,22.795,122.28,403.26,403.54,119.57,288.35,1987.9
7080.0,539338.42,520023.6149900354,0.0077013177774286675,533815.0,537780.0,555215.0323531692,502851.86764683074,29.613803901102486,-2.7076292104963318,3.01,85.39,3.591,34496.8,912.4,1787.0,4186.77,14381.64,171.1,212.42,340.67,22.895,125.61,417.79,411.25,121.39,299.53,1985.5
6710.0,538577.42,519443.0588377223,0.007851186791495053,530340.0,535220.0,552698.5902864672,502230.8097135327,37.26758559962069,-1.719083155650325,2.971,83.74,3.624,33917.0,891.9,1784.88,4247.68,14745.86,173.44,216.52,330.53,22.999,138.81,436.63,413.73,128.56,312.55,1976.8
7619.0,537796.42,518374.89593961113,0.007749709314222197,523749.0,539250.0,549851.2675446585,501544.53245534154,34.41790181011477,-2.6498242948048256,2.926,85.49,3.5865,33041.8,905.0,1763.75,4217.04,14604.85,173.0,212.08,329.32,23.095,136.5,429.75,406.84,126.56,314.01,1978.2
7619.0,536895.42,517240.29656428634,0.007621433902463108,517825.0,542395.0,547389.5916738625,500687.20832613757,35.6565908901657,-4.2739525865702515,2.899,88.75,3.563,29674.5,905.1,1603.89,4224.16,14560.88,172.88,211.99,326.67,23.504,135.6,413.87,400.96,125.17,308.65,1994.4
6990.0,536210.68,516980.2509390115,0.007869369029188387,513065.0,542414.0,543526.4831033318,501441.81689666834,41.18673647469459,-2.7887770109740972,2.957,89.37,3.601,28723.0,898.2,1566.79,4278.0,14783.13,175.46,220.11,331.32,23.031,137.75,421.01,401.77,128.4,312.81,1980.5
7619.0,535721.08,517159.4431022405,0.007823964302645406,503375.0,545900.0,540138.4881995214,502394.3118004786,44.44703868005292,-1.0699781765693084,3.056,88.32,3.587,28321.7,894.3,1563.43,4314.6,14909.26,175.84,242.68,330.11,23.099,137.96,421.96,346.19,128.13,316.97,1968.3
7070.0,535376.08,518788.75954804965,0.008640111661966723,510125.0,543905.0,538368.7471360996,503199.0528639005,50.89433131535498,1.9166706899048869,3.079,86.66,3.5785,28403.6,906.2,1564.99,4373.2,15122.01,177.15,254.85,332.06,23.024,139.72,439.38,355.72,131.47,324.0,1935.7
7619.0,535050.58,520125.1042329651,0.008555530439037803,512400.0,546869.0,537776.6893086388,503409.8106913612,45.16694618082025,2.8086109947082827,3.109,86.66,3.582,28509.7,899.4,1599.48,4373.63,15172.73,178.72,253.92,332.64,22.765,139.1,460.95,360.82,132.55,321.15,1934.3
7440.0,534631.88,520521.2420432782,0.008663347067387814,516250.0,547445.0,536518.9774975273,503748.92250247276,44.28913140977725,3.839086168363548,3.236,87.69,3.571,26863.5,884.2,1552.17,4327.78,14995.12,178.85,251.12,327.73,22.895,137.36,454.61,355.68,129.79,314.69,1941.5
7530.0,534270.22,521135.97403662,0.00865768313943477,512500.0,549500.0,536029.181847693,503867.9181523069,50.618198209801015,2.8212692967410025,3.344,82.91,3.591,26761.1,875.8,1539.7,4349.61,15184.1,180.71,258.87,331.16,21.959,138.97,469.45,361.2,132.33,324.16,1883.0
7619.0,534026.62,522318.13187713997,0.008834707952999604,511000.0,549520.0,536354.5169829993,503758.5830170007,59.08752789486734,3.2045277127244365,3.377,83.49,3.612,26876.6,893.0,1566.88,4376.95,15241.12,179.8,262.99,332.42,22.133,140.55,468.06,365.93,131.83,327.82,1887.3
