Bitcoin_Vol.,Bitcoin_Price_MA_50,Bitcoin_Price_EMA_12,Bitcoin_Price_Volatility_30,Bitcoin_Price_Lag_7,Bitcoin_Price_Lag_30,Bitcoin_Price_BB_Upper,Bitcoin_Price_BB_Lower,Bitcoin_Price_RSI_14,Bitcoin_Price_ROC_10,Natural_Gas_Price,Crude_oil_Price,Copper_Price,Platinum_Price,Ethereum_Price,S&P_500_Price,Nasdaq_100_Price,Apple_Price,Tesla_Price,Microsoft_Price,Silver_Price,Google_Price,Nvidia_Price,Berkshire_Price,Netflix_Price,Amazon_Price,Meta_Price,Gold_Price
51800.0,41993.63,38586.245494761504,0.032756168889969156,37712.9,44157.0,46061.221109253354,34765.97889074664,37.905124257192675,-15.024208076013812,2.882,77.6,3.8335,923.4,2021.49,4547.38,16027.06,191.45,235.6,377.44,23.959,136.25,485.2382,547836.0,474.47,146.13,339.97,1990.7
51370.0,41863.91,38279.9615724905,0.03259701638046918,37855.5,42836.1,45899.65118794143,34321.11881205856,22.247687948040166,-12.842778140316957,3.131,75.89,3.7345,905.0,1960.8,4514.02,15837.99,189.69,234.3,369.85,23.852,135.31,485.2382,544190.0,465.91,145.18,335.04,1984.7
66920.0,41735.524,37953.99825364581,0.0309804192970158,37823.3,44943.7,45801.3355732088,33842.6544267912,23.008534581336008,-6.5317073422904155,3.239,72.9,3.7025,898.4,1961.76,4508.24,15833.17,189.71,233.59,376.17,23.933,136.93,485.2382,546635.0,466.95,142.83,334.19,1987.3
75510.0,41634.098,37941.829291546455,0.030562854990998794,37248.6,42072.4,45404.8482245349,33724.041775465084,29.55474563822564,0.42956123766668686,3.362,76.66,3.7185,901.25,2058.93,4502.88,15817.18,188.01,242.84,369.67,23.538,134.62,485.2382,542500.0,461.94,143.2,332.71,1964.3
63560.0,41479.087999999996,37573.74786207777,0.03220890999589772,37717.3,42581.1,45081.33474243743,33314.035257562566,24.09481161022977,-6.092113431337576,3.106,78.26,3.6835,890.7,1979.1,4495.7,15812.47,187.44,237.41,370.27,23.132,133.62,485.2382,537400.0,448.65,145.8,336.31,1966.5
44550.0,41372.428,37405.21742175811,0.0323864524130361,37410.8,43446.5,44846.97480553563,33047.52519446437,31.993332679674495,-3.556009126649451,3.197,78.26,3.666,863.6,2054.18,4411.55,15482.79,184.8,223.71,366.68,22.358,132.09,485.2382,531288.0,444.62,142.59,329.19,1950.2
59560.0,41319.774,37389.49166456456,0.032626391887189854,35813.6,42513.3,44588.18703412494,32911.002965875065,44.59902055585017,0.14604575742445114,3.033,77.17,3.587,845.6,2077.78,4415.24,15529.12,186.4,214.65,369.67,22.281,132.59,483.35,531886.0,447.24,143.56,328.77,1937.7
115560.0,41252.064,37283.49294693924,0.031887616623725995,37454.1,43968.9,43684.98427942332,33066.70572057668,45.934397789700256,-2.695845142679887,3.041,75.74,3.6405,864.3,2120.16,4347.35,15187.9,182.41,209.98,360.69,22.905,130.24,469.5,528225.0,435.15,140.6,320.55,1969.8
46330.0,41167.026,37030.17095510243,0.0321660077933023,36595.4,43865.9,42898.961893787855,33087.44810621215,41.704183430802146,-4.741678873480392,3.106,75.33,3.638,871.5,1889.29,4382.78,15313.24,182.89,222.11,363.2,22.728,131.84,465.74,526660.0,436.65,142.08,319.78,1957.8
53490.0,41084.42,36783.3908081636,0.032164426442201195,36161.2,43662.8,41780.333769877565,33371.056230122434,41.15450466406895,-1.081991198874166,3.14,77.37,3.679,898.55,1885.97,4378.38,15296.02,181.82,222.18,360.53,22.589,130.97,459.55,525280.0,434.61,142.71,318.82,1973.5
43247.0,40952.3,36515.484529984584,0.031810641664119184,37874.9,42259.3,40169.513067442254,34078.45693255775,41.741642838964665,-6.440149409543949,3.264,80.82,3.719,917.6,1900.98,4365.98,15154.93,179.23,219.27,356.53,23.234,130.25,457.51,526450.0,434.74,139.74,315.8,1988.6
54540.0,40820.82,36239.05614075618,0.03168536291794342,35549.3,42659.7,38986.88432854029,34534.17567145971,38.65404407313232,-5.128240161331766,3.515,80.51,3.6815,940.95,1832.29,4358.34,15099.49,176.65,219.96,352.8,23.285,129.1,450.05,533815.0,432.36,138.6,314.6,1999.2
63660.0,40664.074,36037.87827294754,0.03169716442208403,36478.3,41929.0,38747.581755225285,34397.79824477472,40.55149916924531,-3.400882714069209,3.472,82.46,3.6725,930.6,1800.27,4317.78,14919.54,177.57,218.51,348.32,22.846,127.49,435.06,530340.0,424.71,138.07,310.87,1993.5
71660.0,40509.64,35943.40469249408,0.03135525889184106,37303.0,43025.9,38621.37611983368,34295.09388016632,48.37796900747352,-6.471568241764336,3.494,80.44,3.649,934.9,1846.6,4237.86,14664.91,173.97,205.66,346.07,22.79,126.45,423.25,523749.0,420.19,137.0,311.85,1987.5
43400.0,40345.934,35744.5116628796,0.03148275727020513,36700.5,42884.5,38499.794439807825,34096.185560192185,37.42655962685564,-2.52803852677832,3.575,81.02,3.649,944.9,1815.13,4193.8,14409.78,170.77,200.84,338.11,22.952,124.08,407.8,517825.0,411.69,133.09,301.27,1994.3
45200.0,40108.528,35549.6483301289,0.031098077687326562,35636.9,41487.0,38352.82427591779,33908.6157240822,39.880525686977315,-5.483808181850581,3.352,82.31,3.6585,939.9,1809.05,4166.82,14335.51,170.29,197.36,337.31,23.396,124.46,411.61,513065.0,410.08,132.71,302.66,2005.6
47330.0,39853.977999999996,35296.13320241676,0.03116314968721949,35426.1,41256.1,38330.37566948651,33596.38433051349,39.34687488212443,-9.117765327185479,3.164,85.54,3.646,901.5,1779.54,4117.37,14180.42,168.22,207.3,329.81,22.774,122.17,405.0,503375.0,397.87,127.74,296.73,1989.0
56620.0,39614.471999999994,35120.374248198794,0.027736900471698512,35042.0,44175.5,38132.714675028285,33437.68532497171,29.649115131363047,-6.939414994346138,3.214,83.21,3.5845,909.0,1803.13,4137.23,14109.57,166.89,205.76,327.89,22.795,122.28,403.26,510125.0,403.54,119.57,288.35,1987.9
75810.0,39365.164,35024.4397484759,0.02783617350780524,34718.7,43289.7,37923.0452058954,33355.9547941046,42.650242315051464,-3.1992120526757373,3.01,85.39,3.591,912.4,1787.0,4186.77,14381.64,171.1,212.42,340.67,22.895,125.61,417.79,512400.0,411.25,121.39,299.53,1985.5
159080.0,39160.366,34854.064402556534,0.027667379989430977,34931.4,43776.3,37951.943614955846,33137.39638504415,31.197051784639328,-4.259853610755904,2.971,83.74,3.624,891.9,1784.88,4247.68,14745.86,173.44,216.52,330.53,22.999,138.81,436.63,516250.0,413.73,128.56,312.55,1976.8
133460.0,38938.062000000005,34575.254494470915,0.02770147552011044,35423.8,44076.2,37802.21669004355,32845.89330995647,18.9480280992218,-5.70800753381655,2.926,85.49,3.5865,905.0,1763.75,4217.04,14604.85,173.0,212.08,329.32,23.095,136.5,429.75,512500.0,406.84,126.56,314.01,1978.2
82680.0,38674.83,33821.292264552314,0.031782625416848925,34650.6,41987.8,38444.46021578643,31511.559784213576,13.50584862147062,-14.528769798408348,2.899,88.75,3.563,905.1,1603.89,4224.16,14560.88,172.88,211.99,326.67,23.504,135.6,413.87,511000.0,400.96,125.17,308.65,1994.4
