Crude_oil_Vol.,Crude_oil_Price_MA_50,Crude_oil_Price_EMA_12,Crude_oil_Price_Volatility_30,Crude_oil_Price_Lag_7,Crude_oil_Price_Lag_30,Crude_oil_Price_BB_Upper,Crude_oil_Price_BB_Lower,Crude_oil_Price_RSI_14,Crude_oil_Price_ROC_10,Natural_Gas_Price,Copper_Price,Bitcoin_Price,Platinum_Price,Ethereum_Price,S&P_500_Price,Nasdaq_100_Price,Apple_Price,Tesla_Price,Microsoft_Price,Silver_Price,Google_Price,Nvidia_Price,Berkshire_Price,Netflix_Price,Amazon_Price,Meta_Price,Gold_Price
66429.0,73.6094,75.50366303293214,0.02025069925423145,75.96,72.19,79.5663753389179,67.1696246610821,68.93848009650183,7.300884955752207,2.882,3.8335,37454.1,923.4,2021.49,4547.38,16027.06,191.45,235.6,377.44,23.959,136.25,485.2382,547836.0,474.47,146.13,339.97,1990.7
101480.0,73.6508,75.56309948940412,0.020721428125874915,77.86,72.7,79.82119840836833,67.25680159163167,62.8021978021978,3.90197152245344,3.131,3.7345,36595.4,905.0,1960.8,4514.02,15837.99,189.69,234.3,369.85,23.852,135.31,485.2382,544190.0,465.91,145.18,335.04,1984.7
125170.0,73.5918,75.15339187564965,0.021179484433031356,76.41,70.38,79.82481332452778,67.40018667547221,59.22279792746115,-1.5795868772782384,3.239,3.7025,36161.2,898.4,1961.76,4508.24,15833.17,189.71,233.59,376.17,23.933,136.93,485.2382,546635.0,466.95,142.83,334.19,1987.3
282300.0,73.5686,75.38517774093432,0.022903459000478046,74.86,71.65,80.14397611033206,67.58902388966794,65.81233709817552,0.9215376513954654,3.362,3.7185,37874.9,901.25,2058.93,4502.88,15817.18,188.01,242.84,369.67,23.538,134.62,485.2382,542500.0,461.94,143.2,332.71,1964.3
263000.0,73.59819999999999,75.82745808848289,0.02314626746430228,75.54,71.77,80.51791181690893,68.09408818309109,63.69926199261995,0.5137426149499191,3.106,3.6835,35549.3,890.7,1979.1,4495.7,15812.47,187.44,237.41,370.27,23.132,133.62,485.2382,537400.0,448.65,145.8,336.31,1966.5
262900.0,73.6032,76.20169530563938,0.022471061249816324,77.1,74.11,80.62533142232425,68.95166857767575,62.452290076335885,2.4211490642586098,3.197,3.666,36478.3,863.6,2054.18,4411.55,15482.79,184.8,223.71,366.68,22.358,132.09,485.2382,531288.0,444.62,142.59,329.19,1950.2
267000.0,73.5994,76.35066525861794,0.022399413993304973,77.77,75.57,80.77043212409963,69.39156787590035,57.37392959086586,3.085760085492928,3.033,3.587,37303.0,845.6,2077.78,4415.24,15529.12,186.4,214.65,369.67,22.281,132.59,483.35,531886.0,447.24,143.56,328.77,1937.7
303430.0,73.61240000000001,76.2567167572921,0.022103895204642243,77.6,73.56,80.70324082932908,69.90975917067092,49.464980544747085,0.2647603918453756,3.041,3.6405,36700.5,864.3,2120.16,4347.35,15187.9,182.41,209.98,360.69,22.905,130.24,469.5,528225.0,435.15,140.6,320.55,1969.8
429650.0,73.63159999999999,76.11414494847793,0.022127157292321405,75.89,73.89,80.21606404796245,70.99593595203757,43.36654431043523,-2.2957198443579685,3.106,3.638,35636.9,871.5,1889.29,4382.78,15313.24,182.89,222.11,363.2,22.728,131.84,465.74,526660.0,436.65,142.08,319.78,1957.8
396290.0,73.67519999999999,76.30735341794286,0.022633028074316136,72.9,74.22,79.62145572283093,72.38954427716907,52.44150559511701,-0.5143371480004988,3.14,3.679,35426.1,898.55,1885.97,4378.38,15296.02,181.82,222.18,360.53,22.589,130.97,459.55,525280.0,434.61,142.71,318.82,1973.5
271130.0,73.8234,77.00160673825934,0.02381841019435269,76.66,73.44,80.21664913377138,72.6443508662286,63.82189239332096,4.149484536082482,3.264,3.719,35042.0,917.6,1900.98,4365.98,15154.93,179.23,219.27,356.53,23.234,130.25,457.51,526450.0,434.74,139.74,315.8,1988.6
457280.0,73.952,77.5413595477579,0.02365301525145488,78.26,72.47,80.6551154911682,72.9528845088318,61.72722982538935,6.087758597970749,3.515,3.6815,34718.7,940.95,1832.29,4358.34,15099.49,176.65,219.96,352.8,23.285,129.1,450.05,533815.0,432.36,138.6,314.6,1999.2
307120.0,74.15,78.29807346348746,0.02368171082024022,78.26,71.43,81.61112986012647,72.8358701398735,62.41890639481003,13.11385459533605,3.472,3.6725,34931.4,930.6,1800.27,4317.78,14919.54,177.57,218.51,348.32,22.846,127.49,435.06,530340.0,424.71,138.07,310.87,1993.5
321590.0,74.3108,78.62760062295092,0.024286734323167563,77.17,71.58,82.01718442996598,72.87781557003403,55.82206716092457,4.93086355335246,3.494,3.649,35423.8,934.9,1846.6,4237.86,14664.91,173.97,205.66,346.07,22.79,126.45,423.25,523749.0,420.19,137.0,311.85,1987.5
346010.0,74.4776,78.99566206557385,0.023442492677202203,75.74,69.47,82.44574564404913,72.76525435595086,57.32647814910027,3.5267058522872263,3.575,3.649,34650.6,944.9,1815.13,4193.8,14409.78,170.77,200.84,338.11,22.952,124.08,407.8,517825.0,411.69,133.09,301.27,1994.3
356930.0,74.6834,79.50556020933173,0.02327101848262389,75.33,68.61,83.13692093519285,72.66407906480714,64.00523560209426,5.175057500638891,3.352,3.6585,34477.9,939.9,1809.05,4166.82,14335.51,170.29,197.36,337.31,23.396,124.46,411.61,513065.0,410.08,132.71,302.66,2005.6
333760.0,74.96679999999999,80.43393556174223,0.02325845096921503,77.37,71.32,84.48098127339144,72.38801872660856,77.28842832469778,10.846183750161975,3.164,3.646,33901.8,901.5,1779.54,4117.37,14180.42,168.22,207.3,329.81,22.774,122.17,405.0,503375.0,397.87,127.74,296.73,1989.0
341790.0,75.1862,80.86102239839727,0.02402216851689075,80.82,71.23,85.0612366774395,72.5747633225605,65.0713299585826,9.862688143649322,3.214,3.5845,34153.7,909.0,1803.13,4137.23,14109.57,166.89,205.76,327.89,22.795,122.28,403.26,510125.0,403.54,119.57,288.35,1987.9
429460.0,75.4786,81.55778818325923,0.02352354993643383,80.51,69.34,86.06814920106345,72.39685079893655,65.97938144329896,13.354573211204034,3.01,3.591,34496.8,912.4,1787.0,4186.77,14381.64,171.1,212.42,340.67,22.895,125.61,417.79,512400.0,411.25,121.39,299.53,1985.5
370590.0,75.6772,81.89351307814243,0.023993516164765413,82.46,69.38,86.6146443192826,72.44735568071741,61.43572621035056,8.233165309551493,2.971,3.624,33917.0,891.9,1784.88,4247.68,14745.86,173.44,216.52,330.53,22.999,138.81,436.63,516250.0,413.73,128.56,312.55,1976.8
315520.0,75.94319999999999,82.44681875842821,0.023195374357727873,80.44,72.32,87.42306304267903,72.42793695732097,66.89683184402924,5.778272704776044,2.926,3.5865,33041.8,905.0,1763.75,4217.04,14604.85,173.0,212.08,329.32,23.095,136.5,429.75,512500.0,406.84,126.56,314.01,1978.2
66429.0,76.26419999999999,83.41653894943926,0.023926294175246065,81.02,73.04,88.78057653718781,72.35642346281219,74.59357277882799,10.2347534467768,2.899,3.563,29674.5,905.1,1603.89,4224.16,14560.88,172.88,211.99,326.67,23.504,135.6,413.87,511000.0,400.96,125.17,308.65,1994.4
72060.0,76.644,84.3324560341409,0.02388654876490049,82.31,74.07,89.6691584241783,73.11484157582169,76.33158289572393,8.379820519039537,2.957,3.601,28723.0,898.2,1566.79,4278.0,14783.13,175.46,220.11,331.32,23.031,137.75,421.01,515550.0,401.77,128.4,312.81,1980.5
92800.0,76.9774,84.94592433658076,0.02383528886778758,85.54,75.96,90.4879808002404,73.4620191997596,71.32839890923253,9.796121332670316,3.056,3.587,28321.7,894.3,1563.43,4314.6,14909.26,175.84,242.68,330.11,23.099,137.96,421.96,518145.0,346.19,128.13,316.97,1968.3
197120.0,77.2752,85.20962828479911,0.02392838403839185,83.21,77.86,90.96491678397221,73.82508321602778,62.22780569514238,6.9612441372500555,3.079,3.5785,28403.6,906.2,1564.99,4373.2,15122.01,177.15,254.85,332.06,23.024,139.72,439.38,527750.0,355.72,131.47,324.0,1935.7
235780.0,77.5262,85.43276239483002,0.023564041306887662,85.39,76.41,91.3549433006868,74.2750566993132,63.046245226983416,5.284898554246142,3.109,3.582,28509.7,899.4,1599.48,4373.63,15172.73,178.72,253.92,332.64,22.765,139.1,460.95,527475.0,360.82,132.55,321.15,1934.3
356860.0,77.76859999999999,85.78002971870232,0.02312651746367834,83.74,74.86,91.711205053138,74.97079494686201,61.54525386313463,2.513444002805687,3.236,3.571,26863.5,884.2,1552.17,4327.78,14995.12,178.85,251.12,327.73,22.895,137.36,454.61,522700.0,355.68,129.79,314.69,1941.5
373490.0,77.95559999999999,85.33848668505581,0.025575696379528532,85.49,75.54,91.2754549684649,76.1235450315351,54.860291223927575,-0.3605335897127748,3.344,3.591,26761.1,875.8,1539.7,4349.61,15184.1,180.71,258.87,331.16,21.959,138.97,469.45,524517.0,361.2,132.33,324.16,1883.0
425400.0,78.1476,85.05410411812414,0.025379279981366354,88.75,77.1,90.58487398057328,77.6301260194267,54.860291223927575,-2.2250849045555743,3.377,3.612,26876.6,893.0,1566.88,4376.95,15241.12,179.8,262.99,332.42,22.133,140.55,468.06,528820.0,365.93,131.83,327.82,1887.3
337650.0,78.3826,85.19501117687427,0.025828652403308092,89.37,77.77,90.22534067805564,78.84965932194434,56.879699248120275,2.6630045378552625,3.382,3.634,27391.0,890.2,1567.6,4358.24,15131.52,178.39,263.62,328.39,21.953,138.06,457.98,528530.0,373.32,129.48,321.84,1875.3
435040.0,78.6414,85.37731714966284,0.025805488928199533,88.32,77.6,90.27731182585501,79.35368817414499,51.766190075693835,1.0410574336179756,3.376,3.646,27581.4,888.8,1579.74,4335.66,15047.16,178.99,259.67,329.82,21.924,138.42,452.73,523690.0,385.95,128.26,318.36,1864.3
461140.0,78.84779999999999,84.97926835740702,0.026712445587734703,86.66,75.89,90.10035954373637,79.7586404562636,49.16134185303517,-6.715492957746472,3.338,3.6275,27936.9,881.5,1645.62,4308.5,14973.24,177.49,260.53,327.26,21.723,137.58,457.62,525425.0,381.51,127.96,315.43,1845.2
466000.0,79.0654,84.56861168703672,0.025541281388450136,86.66,72.9,90.10835294229985,79.73564705770015,43.40188517566411,-7.899742642945062,3.166,3.552,27410.3,862.5,1611.58,4258.19,14723.22,174.91,260.05,319.36,21.019,135.07,446.88,523545.0,372.59,125.96,304.79,1831.8
460000.0,79.31819999999999,84.5149791198003,0.024224340530676583,87.69,76.66,89.86730949371432,80.35469050628569,51.01694915254239,-4.642210144927528,2.962,3.589,27790.9,874.2,1647.05,4263.75,14776.25,173.66,261.16,318.95,21.146,135.24,440.41,521675.0,376.9,127.0,305.58,1834.8
350660.0,79.7134,85.24036694752333,0.02613404055242102,82.91,78.26,90.2077947994514,80.8352052005486,56.96202531645571,2.9656127394415144,2.949,3.621,27428.4,879.6,1656.88,4229.45,14565.62,172.4,246.53,313.39,21.377,132.43,435.17,521919.0,376.75,124.72,300.94,1841.5
