Nasdaq_100_Vol.,Nasdaq_100_Price_MA_50,Nasdaq_100_Price_EMA_12,Nasdaq_100_Price_Volatility_30,Nasdaq_100_Price_Lag_7,Nasdaq_100_Price_Lag_30,Nasdaq_100_Price_BB_Upper,Nasdaq_100_Price_BB_Lower,Nasdaq_100_Price_RSI_14,Nasdaq_100_Price_ROC_10,Natural_Gas_Price,Crude_oil_Price,Copper_Price,Bitcoin_Price,Platinum_Price,Ethereum_Price,S&P_500_Price,Apple_Price,Tesla_Price,Microsoft_Price,Silver_Price,Google_Price,Nvidia_Price,Berkshire_Price,Netflix_Price,Amazon_Price,Meta_Price,Gold_Price
247080000.0,16615.3228,16030.502209268783,0.007681888358485667,15947.87,16282.01,16685.457723133368,15563.511276866633,40.99237488895464,0.9406268284280372,2.882,77.6,3.8335,37454.1,923.4,2021.49,4547.38,191.45,235.6,377.44,23.959,136.25,485.2382,547836.0,474.47,146.13,339.97,1990.7
259240000.0,16585.1884,16000.884946304355,0.007868553097589168,15987.6,16368.49,16576.342022673925,15583.445977326075,39.10970635495199,-0.010606281570257892,3.131,75.89,3.7345,36595.4,905.0,1960.8,4514.02,189.69,234.3,369.85,23.852,135.31,485.2382,544190.0,465.91,145.18,335.04,1984.7
274410000.0,16559.107,15975.082646872917,0.007550109956999633,16010.43,16543.94,16476.844387984813,15603.915612015187,41.19671155419981,-1.0277179423387794,3.239,72.9,3.7025,36161.2,898.4,1961.76,4508.24,189.71,233.59,376.17,23.933,136.93,485.2382,546635.0,466.95,142.83,334.19,1987.3
271670000.0,16525.9164,15950.789931969392,0.006697714971159764,15961.98,16825.93,16383.064290664988,15625.630709335011,51.69987045271532,-0.8194824763432362,3.362,76.66,3.7185,37874.9,901.25,2058.93,4502.88,188.01,242.84,369.67,23.538,134.62,485.2382,542500.0,461.94,143.2,332.71,1964.3
290230000.0,16490.2404,15929.50994243564,0.006599214523197717,15980.11,16898.47,16249.168411058607,15684.536588941392,45.77395450069958,-1.09541144386901,3.106,78.26,3.6835,35549.3,890.7,1979.1,4495.7,187.44,237.41,370.27,23.132,133.62,485.2382,537400.0,448.65,145.8,336.31,1966.5
197750000.0,16451.476,15860.783797445541,0.007401544840228276,16001.39,16906.8,16222.3494105367,15624.209589463297,33.22175417481567,-3.295601679655069,3.197,78.26,3.666,36478.3,863.6,2054.18,4411.55,184.8,223.71,366.68,22.358,132.09,485.2382,531288.0,444.62,142.59,329.19,1950.2
278470000.0,16411.7186,15809.758597838534,0.007476902167326362,15933.62,16878.46,16202.252431317682,15575.04456868232,25.3944576338844,-2.711818959803225,3.033,77.17,3.587,37303.0,845.6,2077.78,4415.24,186.4,214.65,369.67,22.281,132.59,483.35,531886.0,447.24,143.56,328.77,1937.7
263170000.0,16365.490600000001,15714.088044324913,0.008245904899064254,16027.06,16777.4,16274.122190125285,15413.495809874714,19.441071213156818,-4.957475261434374,3.041,75.74,3.6405,36700.5,864.3,2120.16,4347.35,182.41,209.98,360.69,22.905,130.24,469.5,528225.0,435.15,140.6,320.55,1969.8
241210000.0,16323.671199999999,15652.419114428772,0.008504574976265004,15837.99,16757.41,16290.442719584747,15326.250280415252,24.630189758174893,-4.300563888512188,3.106,75.33,3.638,35636.9,871.5,1889.29,4382.78,182.89,222.11,363.2,22.728,131.84,465.74,526660.0,436.65,142.08,319.78,1957.8
232650000.0,16282.983999999999,15597.588481439732,0.008331218465484208,15833.17,16554.16,16317.63666101867,15249.853338981331,23.0095583512788,-4.00160164482396,3.14,77.37,3.679,35426.1,898.55,1885.97,4378.38,181.82,222.18,360.53,22.589,130.97,459.55,525280.0,434.61,142.71,318.82,1973.5
218030000.0,16239.8024,15529.48717660285,0.007670658133423762,15817.18,16811.86,16348.377396873275,15146.834603126725,21.50428291987086,-5.441609378139223,3.264,80.82,3.719,35042.0,917.6,1900.98,4365.98,179.23,219.27,356.53,23.234,130.25,457.51,526450.0,434.74,139.74,315.8,1988.6
269750000.0,16202.146400000001,15463.333764817797,0.00766589596057629,15812.47,16729.8,16375.282922890228,15045.911077109771,19.704830053667152,-4.662839160777343,3.515,80.51,3.6815,34718.7,940.95,1832.29,4358.34,176.65,219.96,352.8,23.285,129.1,450.05,533815.0,432.36,138.6,314.6,1999.2
296180000.0,16165.811599999999,15379.673185615058,0.007806219611638964,15482.79,16623.45,16394.24263761223,14919.14736238777,16.445315650064785,-5.770354262601862,3.472,82.46,3.6725,34931.4,930.6,1800.27,4317.78,177.57,218.51,348.32,22.846,127.49,435.06,530340.0,424.71,138.07,310.87,1993.5
298770000.0,16122.4956,15269.709618597357,0.008183545911938763,15529.12,16537.83,16438.645631406165,14746.448368593836,14.737093716820496,-7.284926895944787,3.494,80.44,3.649,35423.8,934.9,1846.6,4237.86,173.97,205.66,346.07,22.79,126.45,423.25,523749.0,420.19,137.0,311.85,1987.5
251080000.0,16074.0328,15137.412754197763,0.008470974210290857,15187.9,16562.37,16489.01977588112,14538.292224118886,8.755903744733814,-8.870783628364187,3.575,81.02,3.649,34650.6,944.9,1815.13,4193.8,170.77,200.84,338.11,22.952,124.08,407.8,517825.0,411.69,133.09,301.27,1994.3
233950000.0,16024.325,15014.0430997058,0.008337524101175619,15313.24,16354.25,16507.901757863234,14351.918242136762,9.30047350229168,-7.4100339796638774,3.352,82.31,3.6585,34477.9,939.9,1809.05,4166.82,170.29,197.36,337.31,23.396,124.46,411.61,513065.0,410.08,132.71,302.66,2005.6
274770000.0,15972.0726,14885.793392058753,0.008394252297967976,15296.02,16221.74,16523.090638202415,14158.573361797584,8.600313613113627,-8.684973778295236,3.164,85.54,3.646,33901.8,901.5,1779.54,4117.37,168.22,207.3,329.81,22.774,122.17,405.0,503375.0,397.87,127.74,296.73,1989.0
299370000.0,15920.69,14766.374408665099,0.00836098366802328,15154.93,16084.69,16509.852743580843,13984.757256419161,8.370267437041377,-7.099928232342856,3.214,83.21,3.5845,34153.7,909.0,1803.13,4137.23,166.89,205.76,327.89,22.795,122.28,403.26,510125.0,403.54,119.57,288.35,1987.9
297480000.0,15875.3254,14707.184499639698,0.009407368329965879,15099.49,16022.49,16432.989851999944,13899.645148000052,19.14066712389628,-6.083624366887741,3.01,85.39,3.591,34496.8,912.4,1787.0,4186.77,171.1,212.42,340.67,22.895,125.61,417.79,512400.0,411.25,121.39,299.53,1985.5
226190000.0,15844.123,14713.134576618206,0.010544439822092607,14919.54,15788.05,16332.848894336146,13881.010105663858,34.339630660688115,-3.5967526193088073,2.971,83.74,3.624,33917.0,891.9,1784.88,4247.68,173.44,216.52,330.53,22.999,138.81,436.63,516250.0,413.73,128.56,312.55,1976.8
224360000.0,15810.5798,14696.475410984634,0.010517878955571375,14664.91,15877.71,16200.472265752254,13871.165734247745,31.118311113653363,-3.6297099359746343,2.926,85.49,3.5865,33041.8,905.0,1763.75,4217.04,173.0,212.08,329.32,23.095,136.5,429.75,512500.0,406.84,126.56,314.01,1978.2
295790000.0,15774.4276,14675.614578525461,0.010517808180846482,14409.78,15839.67,16090.564137324212,13853.36286267579,35.420038320590805,-3.5670741197219247,2.899,88.75,3.563,29674.5,905.1,1603.89,4224.16,172.88,211.99,326.67,23.504,135.6,413.87,511000.0,400.96,125.17,308.65,1994.4
268510000.0,15739.211400000002,14692.155412598466,0.010779708588836447,14335.51,15997.58,15963.983283064297,13874.939716935705,38.20504719227124,-0.9143043284176477,2.957,89.37,3.601,28723.0,898.2,1566.79,4278.0,175.46,220.11,331.32,23.031,137.75,421.01,515550.0,401.77,128.4,312.81,1980.5
226410000.0,15700.878,14725.556118352548,0.01096760260316809,14180.42,15947.87,15829.422910847969,13918.708089152033,41.7923687449599,1.666222295261277,3.056,88.32,3.587,28321.7,894.3,1563.43,4314.6,175.84,242.68,330.11,23.099,137.96,421.96,518145.0,346.19,128.13,316.97,1968.3
240210000.0,15665.348800000002,14786.549023221387,0.01134506507788347,14109.57,15987.6,15697.004935644927,13982.080064355072,49.32200876528157,4.942684759933869,3.079,86.66,3.5785,28403.6,906.2,1564.99,4373.2,177.15,254.85,332.06,23.024,139.72,439.38,527750.0,355.72,131.47,324.0,1935.7
222560000.0,15630.6674,14845.961481187327,0.011369336559334036,14381.64,16010.43,15642.875437464392,14005.203562535613,51.511324617010025,5.840182874554167,3.109,86.66,3.582,28509.7,899.4,1599.48,4373.63,178.72,253.92,332.64,22.765,139.1,460.95,527475.0,360.82,132.55,321.15,1934.3
235940000.0,15593.000600000001,14868.908945620045,0.011513059892236915,14745.86,15961.98,15551.654890591484,14043.024109408512,51.56111868467798,5.745245909500563,3.236,87.69,3.571,26863.5,884.2,1552.17,4327.78,178.85,251.12,327.73,22.895,137.36,454.61,522700.0,355.68,129.79,314.69,1941.5
230890000.0,15561.1346,14917.399877063115,0.011807904876308856,14604.85,15980.11,15551.052477632524,14043.246522367475,61.02290821850917,7.615611248252074,3.344,82.91,3.591,26761.1,875.8,1539.7,4349.61,180.71,258.87,331.16,21.959,138.97,469.45,524517.0,361.2,132.33,324.16,1883.0
206570000.0,15530.808799999999,14967.202972899559,0.011837152120124234,14560.88,16001.39,15537.67936895421,14049.40763104579,69.27128246497351,5.976230805387983,3.377,83.49,3.612,26876.6,893.0,1566.88,4376.95,179.8,262.99,332.42,22.133,140.55,468.06,528820.0,365.93,131.83,327.82,1887.3
215540000.0,15502.356000000002,14992.482515530395,0.011872491223136241,14783.13,15933.62,15509.436675649764,14061.200324350235,68.15492617241489,2.6153781468154502,3.382,85.97,3.634,27391.0,890.2,1567.6,4358.24,178.39,263.62,328.39,21.953,138.06,457.98,528530.0,373.32,129.48,321.84,1875.3
215540000.0,15467.062,15000.894436218026,0.011806274717983787,14909.26,16027.06,15494.001567989202,14065.858432010802,70.42714254739478,3.0285145003200897,3.376,86.38,3.646,27581.4,888.8,1579.74,4335.66,178.99,259.67,329.82,21.924,138.42,452.73,523690.0,385.95,128.26,318.36,1864.3
259200000.0,15431.9308,14996.6399075691,0.011676146890356367,15122.01,15837.99,15477.960370957357,14069.274629042648,70.3253773633749,2.831971694018498,3.338,82.79,3.6275,27936.9,881.5,1645.62,4308.5,177.49,260.53,327.26,21.723,137.58,457.62,525425.0,381.51,127.96,315.43,1845.2
223980000.0,15393.926199999998,14954.575306404622,0.0119831174266485,15172.73,15833.17,15465.046878520112,14062.556121479884,58.12295487405828,-0.4052592380639264,3.166,82.31,3.552,27410.3,862.5,1611.58,4258.19,174.91,260.05,319.36,21.019,135.07,446.88,523545.0,372.59,125.96,304.79,1831.8
240110000.0,15358.694599999999,14927.140643880834,0.012030394082534248,14995.12,15817.18,15469.07441429244,14069.662585707561,50.848233474938155,-0.8921301258412617,2.962,84.22,3.589,27790.9,874.2,1647.05,4263.75,173.66,261.16,318.95,21.146,135.24,440.41,521675.0,376.9,127.0,305.58,1834.8
237600000.0,15318.7596,14871.522083283784,0.012222753562490057,15184.1,15812.47,15463.34598934559,14090.975010654407,48.94599111225747,-3.679338923859987,2.949,89.23,3.621,27428.4,879.6,1656.88,4229.45,172.4,246.53,313.39,21.377,132.43,435.17,521919.0,376.75,124.72,300.94,1841.5
