Natural_Gas_Vol.,Natural_Gas_Price_MA_50,Natural_Gas_Price_EMA_12,Natural_Gas_Price_Volatility_30,Natural_Gas_Price_Lag_7,Natural_Gas_Price_Lag_30,Natural_Gas_Price_BB_Upper,Natural_Gas_Price_BB_Lower,Natural_Gas_Price_RSI_14,Natural_Gas_Price_ROC_10,Crude_oil_Price,Copper_Price,Bitcoin_Price,Platinum_Price,Ethereum_Price,S&P_500_Price,Nasdaq_100_Price,Apple_Price,Tesla_Price,Microsoft_Price,Silver_Price,Google_Price,Nvidia_Price,Berkshire_Price,Netflix_Price,Amazon_Price,Meta_Price,Gold_Price
113700.0,2.6405199999999995,2.7673718188173293,0.029921696061608025,2.802,2.821,3.026534992150755,2.2334650078492446,80.6451612903226,8.061492313460828,77.6,3.8335,37454.1,923.4,2021.49,4547.38,16027.06,191.45,235.6,377.44,23.959,136.25,485.2382,547836.0,474.47,146.13,339.97,1990.7
146650.0,2.66214,2.8233146159223557,0.031897358116136115,2.804,2.668,3.1114392497502728,2.2113607502497263,82.55451713395641,18.106374952847993,75.89,3.7345,36595.4,905.0,1960.8,4514.02,15837.99,189.69,234.3,369.85,23.852,135.31,485.2382,544190.0,465.91,145.18,335.04,1984.7
166400.0,2.6849199999999995,2.8872662134727625,0.031226923576449846,2.706,2.568,3.2094555539077594,2.1881444460922403,84.07582938388627,16.804904435629275,72.9,3.7025,36161.2,898.4,1961.76,4508.24,15833.17,189.71,233.59,376.17,23.933,136.93,485.2382,546635.0,466.95,142.83,334.19,1987.3
109450.0,2.7106199999999996,2.960302180630799,0.031178556358485206,2.794,2.514,3.316198510974912,2.178401489025088,85.95744680851067,19.985724482512502,76.66,3.7185,37874.9,901.25,2058.93,4502.88,15817.18,188.01,242.84,369.67,23.538,134.62,485.2382,542500.0,461.94,143.2,332.71,1964.3
146720.0,2.7229400000000004,2.9827172297645226,0.03489326233712987,2.855,2.557,3.341447080436418,2.230252919563582,67.13505074160813,10.770328102710414,78.26,3.6835,35549.3,890.7,1979.1,4495.7,15812.47,187.44,237.41,370.27,23.132,133.62,485.2382,537400.0,448.65,145.8,336.31,1966.5
165650.0,2.73264,3.0156838098007497,0.034990951424721854,2.897,2.619,3.3673122414915326,2.2929877585084677,70.13274336283187,18.144863266814482,78.26,3.666,36478.3,863.6,2054.18,4411.55,15482.79,184.8,223.71,366.68,22.358,132.09,485.2382,531288.0,444.62,142.59,329.19,1950.2
106720.0,2.74188,3.018347839062173,0.03609637382578202,2.846,2.55,3.3580206113838678,2.3705793886161324,59.298998569384835,8.55404438081604,77.17,3.587,37303.0,845.6,2077.78,4415.24,15529.12,186.4,214.65,369.67,22.281,132.59,483.35,531886.0,447.24,143.56,328.77,1937.7
142580.0,2.74988,3.0218327868987616,0.0359562985835448,2.882,2.61,3.360157586068147,2.4221424139318533,58.67828612926651,6.514886164623457,75.74,3.6405,36700.5,864.3,2120.16,4347.35,15187.9,182.41,209.98,360.69,22.905,130.24,469.5,528225.0,435.15,140.6,320.55,1969.8
172750.0,2.763,3.034781588914337,0.03585547112291538,3.131,2.572,3.3643767246315566,2.476523275368443,60.486111111111114,7.214359682430094,75.33,3.638,35636.9,871.5,1889.29,4382.78,15313.24,182.89,222.11,363.2,22.728,131.84,465.74,526660.0,436.65,142.08,319.78,1957.8
186180.0,2.77742,3.0509690367736697,0.03428952167728485,3.239,2.447,3.3625323929540527,2.5406676070459473,65.7703488372093,10.330288123682351,77.37,3.679,35426.1,898.55,1885.97,4378.38,15296.02,181.82,222.18,360.53,22.589,130.97,459.55,525280.0,434.61,142.71,318.82,1973.5
185740.0,2.7923199999999997,3.0837430311161818,0.0347045122448751,3.362,2.492,3.392068775687821,2.570831224312179,66.64305949008498,13.254684247050651,80.82,3.719,35042.0,917.6,1900.98,4365.98,15154.93,179.23,219.27,356.53,23.234,130.25,457.51,526450.0,434.74,139.74,315.8,1988.6
110110.0,2.80868,3.1500902570983076,0.036790413586965075,3.106,2.503,3.4692765257139047,2.580023474286095,70.59925093632958,12.264452251676783,80.51,3.6815,34718.7,940.95,1832.29,4358.34,15099.49,176.65,219.96,352.8,23.285,129.1,450.05,533815.0,432.36,138.6,314.6,1999.2
118510.0,2.82072,3.1996148329293375,0.036932532867444294,3.197,2.491,3.5300767570745286,2.5891232429254716,67.93512164691204,7.193578264896572,82.46,3.6725,34931.4,930.6,1800.27,4317.78,14919.54,177.57,218.51,348.32,22.846,127.49,435.06,530340.0,424.71,138.07,310.87,1993.5
151260.0,2.8326000000000007,3.2449048586325167,0.03565164158969972,3.033,2.392,3.5862006846379453,2.6021993153620544,70.58449809402795,3.9262343842950687,80.44,3.649,35423.8,934.9,1846.6,4237.86,14664.91,173.97,205.66,346.07,22.79,126.45,423.25,523749.0,420.19,137.0,311.85,1987.5
238330.0,2.83784,3.2956887265352064,0.03498945983628131,3.041,2.335,3.6492234160377284,2.616276583962272,71.4021000617665,15.099806825499051,81.02,3.649,34650.6,944.9,1815.13,4193.8,14409.78,170.77,200.84,338.11,22.952,124.08,407.8,517825.0,411.69,133.09,301.27,1994.3
119530.0,2.84294,3.304351999375944,0.03748550439060651,3.106,2.311,3.648921872992924,2.681178127007076,56.93659761456371,4.848295276822023,82.31,3.6585,34477.9,939.9,1809.05,4166.82,14335.51,170.29,197.36,337.31,23.396,124.46,411.61,513065.0,410.08,132.71,302.66,2005.6
31474.0,2.84544,3.2827593840873375,0.03954576864855246,3.14,2.35,3.634888348983502,2.7322116510164975,47.75851763299463,4.319155951203446,85.54,3.646,33901.8,901.5,1779.54,4117.37,14180.42,168.22,207.3,329.81,22.774,122.17,405.0,503375.0,397.87,127.74,296.73,1989.0
88610.0,2.84592,3.2721810173046704,0.03818788552426351,3.264,2.504,3.6255513871541565,2.777448612845844,45.37499999999999,5.688918119039799,83.21,3.5845,34153.7,909.0,1803.13,4137.23,14109.57,166.89,205.76,327.89,22.795,122.28,403.26,510125.0,403.54,119.57,288.35,1987.9
31474.0,2.8465200000000004,3.2318454761808746,0.040421242988993494,3.515,2.52,3.6168884403173323,2.7974115596826676,46.899224806201545,-3.090792015453958,85.39,3.591,34496.8,912.4,1787.0,4186.77,14381.64,171.1,212.42,340.67,22.895,125.61,417.79,512400.0,411.25,121.39,299.53,1985.5
65430.0,2.8480800000000004,3.1917154029222785,0.04055762746965946,3.472,2.517,3.603275229704117,2.823524770295883,42.44652406417113,-5.382165605095546,83.74,3.624,33917.0,891.9,1784.88,4247.68,14745.86,173.44,216.52,330.53,22.999,138.81,436.63,516250.0,413.73,128.56,312.55,1976.8
99130.0,2.8501800000000004,3.150836110165005,0.039454104637256,3.494,2.667,3.5980268213452167,2.833173178654783,46.114742193173576,-10.355392156862731,85.49,3.5865,33041.8,905.0,1763.75,4217.04,14604.85,173.0,212.08,329.32,23.095,136.5,429.75,512500.0,406.84,126.56,314.01,1978.2
144040.0,2.8548,3.112092093216543,0.03948628199813348,3.575,2.651,3.61054539462984,2.7974546053701594,44.91404011461319,-17.524893314366995,88.75,3.563,29674.5,905.1,1603.89,4224.16,14560.88,172.88,211.99,326.67,23.504,135.6,413.87,511000.0,400.96,125.17,308.65,1994.4
138650.0,2.86258,3.0882317711832283,0.038805584292003883,3.352,2.773,3.610647154976773,2.7691528450232274,44.63642908567315,-14.832949308755762,89.37,3.601,28723.0,898.2,1566.79,4278.0,14783.13,175.46,220.11,331.32,23.031,137.75,421.01,515550.0,401.77,128.4,312.81,1980.5
122850.0,2.8734200000000003,3.0832730371550396,0.03918649007145275,3.164,2.802,3.591231302358883,2.757968697641117,47.11141678129299,-12.535775615340583,88.32,3.587,28321.7,894.3,1563.43,4314.6,14909.26,175.84,242.68,330.11,23.099,137.96,421.96,518145.0,346.19,128.13,316.97,1968.3
133590.0,2.88386,3.0826156468234953,0.03918867640076274,3.214,2.804,3.5909907279515245,2.755509272048476,43.16334072431635,-13.874125874125875,86.66,3.5785,28403.6,906.2,1564.99,4373.2,15122.01,177.15,254.85,332.06,23.024,139.72,439.38,527750.0,355.72,131.47,324.0,1935.7
165020.0,2.8936599999999997,3.086674778081419,0.03850563847202135,3.01,2.706,3.5873904589636103,2.7503095410363896,32.06713780918727,-7.249403341288785,86.66,3.582,28509.7,899.4,1599.48,4373.63,15172.73,178.72,253.92,332.64,22.765,139.1,460.95,527475.0,360.82,132.55,321.15,1934.3
139190.0,2.90738,3.1096478891458164,0.03873755610552385,2.971,2.794,3.593495254242397,2.764504745757603,40.29605263157896,2.2756005056890016,87.69,3.571,26863.5,884.2,1552.17,4327.78,14995.12,178.85,251.12,327.73,22.895,137.36,454.61,522700.0,355.68,129.79,314.69,1941.5
160320.0,2.92206,3.14570206004646,0.03896063611093669,2.926,2.855,3.609556091737504,2.7787439082624963,44.23963133640551,4.044803982576228,82.91,3.591,26761.1,875.8,1539.7,4349.61,15184.1,180.71,258.87,331.16,21.959,138.97,469.45,524517.0,361.2,132.33,324.16,1883.0
211410.0,2.93816,3.1812863585008504,0.03893341243656976,2.899,2.897,3.6286418512161256,2.7867581487838744,42.10526315789472,12.192691029900327,83.49,3.612,26876.6,893.0,1566.88,4376.95,15241.12,179.8,262.99,332.42,22.133,140.55,468.06,528820.0,365.93,131.83,327.82,1887.3
170100.0,2.95686,3.2121653802699504,0.03869196867136518,2.957,2.846,3.646422278392782,2.7931777216072184,51.44787644787646,13.833726018175696,85.97,3.634,27391.0,890.2,1567.6,4358.24,15131.52,178.39,263.62,328.39,21.953,138.06,457.98,528530.0,373.32,129.48,321.84,1875.3
208300.0,2.97454,3.2373707063822654,0.03870247797586633,3.056,2.882,3.657371928912536,2.793428071087465,62.41217798594846,15.379357484620627,86.38,3.646,27581.4,888.8,1579.74,4335.66,15047.16,178.99,259.67,329.82,21.924,138.42,452.73,523690.0,385.95,128.26,318.36,1864.3
239950.0,2.9912399999999995,3.252852136169609,0.035698681432422066,3.079,3.131,3.630413173423035,2.8026868265769656,57.36342042755346,15.143152811314241,82.79,3.6275,27936.9,881.5,1645.62,4308.5,14973.24,177.49,260.53,327.26,21.723,137.58,457.62,525425.0,381.51,127.96,315.43,1845.2
220410.0,3.00474,3.239490269066592,0.03650740192830091,3.109,3.239,3.597604904758742,2.8048950952412586,59.62962962962964,7.067974298275281,82.31,3.552,27410.3,862.5,1611.58,4258.19,14723.22,174.91,260.05,319.36,21.019,135.07,446.88,523545.0,372.59,125.96,304.79,1831.8
155570.0,3.0161400000000005,3.1967994584409625,0.03759541091772703,3.236,3.362,3.55952142077103,2.78977857922897,49.53846153846155,-3.075916230366482,84.22,3.589,27790.9,874.2,1647.05,4263.75,14776.25,173.66,261.16,318.95,21.146,135.24,440.41,521675.0,376.9,127.0,305.58,1834.8
128580.0,3.0284199999999997,3.158676464834661,0.03500932144571853,3.344,3.106,3.49116802562168,2.79553197437832,51.219512195121936,-4.222150048717122,89.23,3.621,27428.4,879.6,1656.88,4229.45,14565.62,172.4,246.53,313.39,21.377,132.43,435.17,521919.0,376.75,124.72,300.94,1841.5
124340.0,3.0389999999999997,3.109649316398559,0.0351134605696626,3.377,3.197,3.4761152209393966,2.7593847790606034,47.12195121951219,-8.652299774847227,88.82,3.6415,27505.3,886.8,1662.79,4288.39,14837.57,173.75,251.6,321.8,21.421,134.17,447.82,527960.0,380.33,129.46,306.82,1847.2
114660.0,3.05058,3.081857113875704,0.03445653898752608,3.382,3.033,3.4732796152653576,2.738720384734643,48.67424242424242,-9.48702101359704,90.79,3.7375,26909.8,915.9,1667.72,4288.05,14715.24,171.21,250.22,315.75,22.45,130.86,434.99,531477.0,377.6,127.12,300.21,1866.1
123670.0,3.0594,3.0608021732794417,0.03446950328877713,3.376,3.041,3.4628662091197704,2.72223379088023,44.295991778006155,-11.931818181818187,91.71,3.708,27022.6,915.1,1652.89,4299.7,14702.77,170.69,246.38,313.64,22.741,132.31,430.89,541105.0,376.36,125.98,303.96,1878.6
31474.0,3.06428,3.01514030046722,0.03594389125672783,3.338,3.106,3.4774750455876373,2.6830249544123626,36.074270557029166,-18.15220610008884,93.68,3.6365,26366.1,896.3,1598.49,4274.51,14580.16,170.43,240.5,312.79,22.724,130.54,424.68,542495.0,377.59,125.98,297.74,1890.9
57090.0,3.06706,2.9598879465491863,0.03641962684935837,3.166,3.14,3.5028180772476767,2.626181922752323,31.265508684863534,-21.46658781785925,90.39,3.649,26218.9,914.2,1594.04,4273.53,14545.83,171.96,244.12,312.14,23.196,128.57,419.11,545870.0,379.25,125.98,298.96,1919.8
36180.0,3.0664999999999996,2.910520570157004,0.035440668979197724,2.962,3.264,3.524842709466922,2.5754572905330777,22.83894449499543,-21.83056872037915,89.68,3.67,26302.7,923.6,1588.62,4337.44,14768.89,176.08,246.99,317.54,23.385,131.11,422.22,548360.0,384.8,131.27,300.83,1936.6
52640.0,3.0662199999999995,2.868440482440542,0.03179124096652439,2.949,3.515,3.542753668169408,2.5313463318305915,14.400805639476346,-21.00059916117436,90.03,3.696,26581.9,934.1,1593.1,4320.06,14701.1,174.79,244.88,317.01,23.844,130.25,416.1,546215.0,379.81,129.12,299.08,1945.6
99970.0,3.06296,2.82868040821892,0.03178640967077199,2.84,3.472,3.5596201110495738,2.479779888950426,11.144883485309052,-17.56159191408718,89.63,3.696,26570.0,924.6,1584.03,4330.0,14694.24,173.93,255.7,319.53,23.687,130.44,410.17,551030.0,384.15,129.33,295.73,1939.6
140310.0,3.06158,2.813960345416009,0.03330006433450407,2.929,3.494,3.5580251809736696,2.44907481902633,20.63348416289594,-7.731262660364624,90.28,3.776,27125.0,942.3,1622.28,4402.2,14969.92,175.49,262.59,320.77,23.836,133.74,422.39,556580.0,386.3,135.29,299.67,1967.1
164810.0,3.0624599999999997,2.8191972153520077,0.034072324355194694,2.945,3.575,3.5494732469389234,2.4345267530610766,28.253706754530484,-3.424889793150221,91.2,3.747,27209.2,948.4,1643.08,4443.95,15191.23,179.07,266.5,328.65,23.456,138.04,435.2,563073.0,396.2,137.63,305.07,1953.7
128310.0,3.0629000000000004,2.805166874528622,0.03312467935069057,2.764,3.352,3.5395533514679656,2.4063466485320344,26.46604938271605,-3.9436619718309696,91.48,3.779,26763.5,938.3,1636.92,4453.53,15225.37,177.97,265.28,329.06,23.498,138.21,439.66,562800.0,394.4,139.98,302.55,1953.4
127780.0,3.0599000000000003,2.7803719707549877,0.032120592925883984,2.656,3.164,3.513931706866352,2.3727682931336473,28.39403973509934,-9.730283373164895,90.77,3.801,26601.0,929.5,1641.31,4450.32,15202.4,175.01,274.39,330.22,23.386,137.4,439.0,559500.0,396.94,140.39,300.31,1946.2
154080.0,3.05696,2.7692378214080664,0.0323482541312746,2.639,3.214,3.4585169382868957,2.3645830617131045,38.10861423220974,-8.047538200339543,90.16,3.8215,26524.7,911.1,1626.49,4505.1,15473.89,175.74,276.04,338.7,22.994,138.1,455.81,561740.0,400.49,144.72,311.72,1932.8
191710.0,3.05262,2.7555089258068253,0.030445332898856113,2.637,3.01,3.3863442928780336,2.3670557071219664,37.5807940904894,-3.0390738060781297,88.52,3.793,26223.0,905.2,1607.63,4467.44,15348.53,174.21,271.3,336.06,23.181,136.71,454.85,557955.0,412.24,144.85,305.06,1932.5
202190.0,3.05056,2.7535844756826986,0.03077717110642972,2.61,2.971,3.298015055487745,2.391484944512255,45.323047251687555,3.275602409638534,88.84,3.792,25834.5,912.8,1592.5,4461.9,15289.74,176.3,267.48,331.77,23.402,135.34,448.7,557415.0,434.69,141.23,301.66,1935.1
110880.0,3.0450800000000005,2.7311868640392065,0.0318803344124474,2.733,2.926,3.1957399547267467,2.4169600452732536,35.18005540166206,-1.1746873815839165,87.29,3.807,25166.4,902.3,1551.89,4487.46,15461.87,179.36,273.58,337.94,23.383,136.92,451.78,555309.0,445.36,143.1,307.56,1947.2
101230.0,3.0345600000000004,2.711773500340867,0.03186292312874526,2.848,2.899,3.0779180362904297,2.46148196370957,34.112149532710276,-1.2135001896094066,87.51,3.7165,25909.5,894.8,1636.45,4457.49,15280.23,178.18,248.5,334.27,23.174,136.38,455.72,551405.0,442.8,138.23,297.89,1942.7
140330.0,3.02136,2.6913468079807337,0.031583415273835874,2.728,2.957,2.997183572981645,2.4835164270183547,39.890710382513674,-1.1877394636015226,86.87,3.762,26249.8,909.6,1648.09,4451.14,15258.52,177.56,251.49,329.91,23.24,135.26,462.41,548930.0,443.14,137.85,298.67,1942.5
116660.0,3.0043200000000003,2.663447299060621,0.03102419664651734,2.644,3.056,2.971995529899103,2.4635044701008963,41.66666666666664,-8.159531650201258,87.54,3.786,25758.0,915.3,1633.18,4465.48,15371.44,182.91,251.92,332.88,23.503,134.46,470.61,548660.0,445.76,135.36,299.17,1944.2
178330.0,2.9938399999999996,2.6509169453589867,0.03157948108482482,2.708,3.079,2.935714153083051,2.4630858469169485,46.93877551020408,-9.33988764044944,86.69,3.8485,25790.2,933.5,1634.46,4496.83,15508.24,189.7,256.49,333.55,23.873,135.77,485.2382,546627.0,448.68,137.27,300.15,1952.6
127250.0,2.9852000000000003,2.668468184534527,0.03443148158654466,2.68,3.109,2.9248428859004125,2.466457114099587,55.755395683453244,1.356304985337231,85.55,3.852,25803.2,968.7,1629.0,4515.77,15490.86,189.46,245.01,328.66,24.562,135.66,485.09,550000.0,439.88,138.12,296.38,1967.1
176020.0,2.9799,2.6837807715292152,0.03342287014428294,2.743,3.236,2.8922824498171473,2.482917550182852,57.26102941176471,4.689863842662612,83.63,3.822,25937.3,974.4,1645.82,4507.66,15501.07,187.87,258.08,327.76,24.812,136.17,485.2382,546725.0,433.68,138.01,295.89,1965.9
