Platinum_Vol.,Platinum_Price_MA_50,Platinum_Price_EMA_12,Platinum_Price_Volatility_30,Platinum_Price_Lag_7,Platinum_Price_Lag_30,Platinum_Price_BB_Upper,Platinum_Price_BB_Lower,Platinum_Price_RSI_14,Platinum_Price_ROC_10,Natural_Gas_Price,Crude_oil_Price,Copper_Price,Bitcoin_Price,Ethereum_Price,S&P_500_Price,Nasdaq_100_Price,Apple_Price,Tesla_Price,Microsoft_Price,Silver_Price,Google_Price,Nvidia_Price,Berkshire_Price,Netflix_Price,Amazon_Price,Meta_Price,Gold_Price
10.0,940.1419999999999,931.1769321257666,0.016316115435776136,935.9,966.3,965.1842612207636,894.8057387792367,52.36341313689378,1.8530774321641186,2.882,77.6,3.8335,37454.1,2021.49,4547.38,16027.06,191.45,235.6,377.44,23.959,136.25,485.2382,547836.0,474.47,146.13,339.97,1990.7
0.0,939.7959999999999,927.1497117987255,0.01606244572425884,941.4,987.1,962.45651533841,892.6034846615902,45.82392776523704,-2.172738082369474,3.131,75.89,3.7345,36595.4,1960.8,4514.02,15837.99,189.69,234.3,369.85,23.852,135.31,485.2382,544190.0,465.91,145.18,335.04,1984.7
0.0,939.112,922.7266792143062,0.015856982912906978,944.7,998.3,959.9663466694691,889.6736533305308,46.13636363636363,-4.027347505608381,3.239,72.9,3.7025,36161.2,1961.76,4508.24,15833.17,189.71,233.59,376.17,23.933,136.93,485.2382,546635.0,466.95,142.83,334.19,1987.3
0.0,938.503,919.4225747197976,0.015678084816300644,918.0,1009.2,951.7323233935205,891.2426766064794,52.351292432264074,-3.702318623784595,3.362,76.66,3.7185,37874.9,2058.93,4502.88,15817.18,188.01,242.84,369.67,23.538,134.62,485.2382,542500.0,461.94,143.2,332.71,1964.3
0.0,937.551,915.003717070598,0.015385431652293518,932.4,1023.2,953.1416395278854,886.6933604721144,44.9747155499368,-5.3855959209687665,3.106,78.26,3.6835,35549.3,1979.1,4495.7,15812.47,187.44,237.41,370.27,23.132,133.62,485.2382,537400.0,448.65,145.8,336.31,1966.5
0.0,936.3969999999999,907.0954529058905,0.016078991118793063,925.8,1013.5,957.7529093919462,875.3420906080538,31.564748201438874,-8.584735894993123,3.197,78.26,3.666,36478.3,2054.18,4411.55,15482.79,184.8,223.71,366.68,22.358,132.09,485.2382,531288.0,444.62,142.59,329.19,1950.2
0.0,935.419,897.634613997292,0.01617425897834918,941.4,995.6,965.0588666045297,861.0261333954701,23.964326812428112,-7.886710239651418,3.033,77.17,3.587,37303.0,2077.78,4415.24,15529.12,186.4,214.65,369.67,22.281,132.59,483.35,531886.0,447.24,143.56,328.77,1937.7
0.0,934.4070000000002,892.5062118438625,0.0168377368009258,923.4,981.8,966.515524760641,854.0194752393588,31.383255330213203,-7.303732303732302,3.041,75.74,3.6405,36700.5,2120.16,4347.35,15187.9,182.41,209.98,360.69,22.905,130.24,469.5,528225.0,435.15,140.6,320.55,1969.8
0.0,933.7270000000001,889.2744869448068,0.016922745908525567,905.0,970.3,967.0842080416872,849.4007919583127,31.98453608247425,-5.865197666882693,3.106,75.33,3.638,35636.9,1889.29,4382.78,15313.24,182.89,222.11,363.2,22.728,131.84,465.74,526660.0,436.65,142.08,319.78,1957.8
0.0,933.638,890.7014889532979,0.018019235262595527,898.4,974.0,967.1139500969758,849.856049903024,39.402985074626855,-4.551731463777353,3.14,77.37,3.679,35426.1,1885.97,4378.38,15296.02,181.82,222.18,360.53,22.589,130.97,459.55,525280.0,434.61,142.71,318.82,1973.5
0.0,933.85,894.8397214220214,0.018490522584955038,901.25,965.8,967.7957289195591,850.274271080441,49.90480723465017,-0.6281134936105603,3.264,80.82,3.719,35042.0,1900.98,4365.98,15154.93,179.23,219.27,356.53,23.234,130.25,457.51,526450.0,434.74,139.74,315.8,1988.6
0.0,934.4290000000001,901.9336104340182,0.019018395460816212,890.7,954.3,969.9131097580778,849.7418902419224,51.95160922163891,3.9723756906077323,3.515,80.51,3.6815,34718.7,1832.29,4358.34,15099.49,176.65,219.96,352.8,23.285,129.1,450.05,533815.0,432.36,138.6,314.6,1999.2
0.0,935.2489999999999,906.3438242134,0.019117471385128565,863.6,952.6,969.1804206500834,849.9245793499166,51.07719928186716,3.5841495992876338,3.472,82.46,3.6725,34931.4,1800.27,4317.78,14919.54,177.57,218.51,348.32,22.846,127.49,435.06,530340.0,424.71,138.07,310.87,1993.5
0.0,935.859,910.7370820267231,0.018886346796301905,845.6,967.9,969.0390033978493,849.965996602151,48.463356973995275,3.7337031900138706,3.494,80.44,3.649,35423.8,1846.6,4237.86,14664.91,173.97,205.66,346.07,22.79,126.45,423.25,523749.0,420.19,137.0,311.85,1987.5
0.0,936.335,915.9929155610733,0.016837177459230065,864.3,922.1,969.6279135010542,849.7270864989458,55.282555282555286,6.085101605478838,3.575,81.02,3.649,34650.6,1815.13,4193.8,14409.78,170.77,200.84,338.11,22.952,124.08,407.8,517825.0,411.69,133.09,301.27,1994.3
