S&P_500_Price_MA_50,S&P_500_Price_EMA_12,S&P_500_Price_Volatility_30,S&P_500_Price_Lag_7,S&P_500_Price_Lag_30,S&P_500_Price_BB_Upper,S&P_500_Price_BB_Lower,S&P_500_Price_RSI_14,S&P_500_Price_ROC_10,Natural_Gas_Price,Crude_oil_Price,Copper_Price,Bitcoin_Price,Platinum_Price,Ethereum_Price,Nasdaq_100_Price,Apple_Price,Tesla_Price,Microsoft_Price,Silver_Price,Google_Price,Nvidia_Price,Berkshire_Price,Netflix_Price,Amazon_Price,Meta_Price,Gold_Price
4718.5936,4570.7795407759195,0.00552253056305236,4567.78,4688.68,4736.146216471509,4468.716783528492,32.167632804333564,-0.43352791000136337,2.882,77.6,3.8335,37454.1,923.4,2021.49,16027.06,191.45,235.6,377.44,23.959,136.25,485.2382,547836.0,474.47,146.13,339.97,1990.7
4710.7502,4562.0473037334705,0.005573674451288429,4550.58,4704.81,4713.449407531743,4468.7595924682555,29.988925802879493,-1.2201900310299219,3.131,75.89,3.7345,36595.4,905.0,1960.8,15837.99,189.69,234.3,369.85,23.852,135.31,485.2382,544190.0,465.91,145.18,335.04,1984.7
4703.937599999999,4553.769257005244,0.005281021494434292,4554.89,4742.83,4692.322683293707,4468.7913167062925,31.821386603995364,-1.8802384522801696,3.239,72.9,3.7025,36161.2,898.4,1961.76,15833.17,189.71,233.59,376.17,23.933,136.93,485.2382,546635.0,466.95,142.83,334.19,1987.3
4695.4958,4545.940140542899,0.005096130370662436,4550.43,4769.83,4665.642671734956,4473.804328265044,37.22643791927866,-1.4208214931542118,3.362,76.66,3.7185,37874.9,901.25,2058.93,15817.18,188.01,242.84,369.67,23.538,134.62,485.2382,542500.0,461.94,143.2,332.71,1964.3
4686.8512,4538.210888151683,0.005017631484724123,4559.34,4783.35,4636.0379895454535,4482.270010454547,29.123831775701007,-1.2060001142711552,3.106,78.26,3.6835,35549.3,890.7,1979.1,15812.47,187.44,237.41,370.27,23.132,133.62,485.2382,537400.0,448.65,145.8,336.31,1966.5
4677.2627999999995,4518.724597666809,0.005853928203973588,4556.62,4781.58,4639.338238941471,4455.75476105853,18.69831849653839,-3.1469475662419977,3.197,78.26,3.666,36478.3,863.6,2054.18,15482.79,184.8,223.71,366.68,22.358,132.09,485.2382,531288.0,444.62,142.59,329.19,1950.2
4667.6844,4502.803890333454,0.005884942767869235,4538.19,4774.75,4639.549700064149,4434.823299935851,11.269916663068457,-2.970928022186925,3.033,77.17,3.587,37303.0,845.6,2077.78,15529.12,186.4,214.65,369.67,22.281,132.59,483.35,531886.0,447.24,143.56,328.77,1937.7
4657.2604,4478.8879072052305,0.006327451040705466,4547.38,4754.63,4652.47430425869,4396.196695741311,9.573414517844824,-4.649576473787864,3.041,75.74,3.6405,36700.5,864.3,2120.16,15187.9,182.41,209.98,360.69,22.905,130.24,469.5,528225.0,435.15,140.6,320.55,1969.8
4647.624,4464.1020753275025,0.0066426280491815,4514.02,4746.75,4653.533382893493,4374.856617106509,21.15450732311072,-3.8151085673152507,3.106,75.33,3.638,35636.9,871.5,1889.29,15313.24,182.89,222.11,363.2,22.728,131.84,465.74,526660.0,436.65,142.08,319.78,1957.8
4638.183,4450.914063738656,0.006516059000831069,4508.24,4701.19,4656.4143743989825,4354.879625601017,19.66660938305536,-3.521447978158687,3.14,77.37,3.679,35426.1,898.55,1885.97,15296.02,181.82,222.18,360.53,22.589,130.97,459.55,525280.0,434.61,142.71,318.82,1973.5
4628.7064,4437.84728470194,0.005708302106587744,4502.88,4768.37,4655.6315953772855,4335.542404622715,19.144166750309296,-3.9891102129138267,3.264,80.82,3.719,35042.0,917.6,1900.98,15154.93,179.23,219.27,356.53,23.234,130.25,457.51,526450.0,434.74,139.74,315.8,1988.6
4620.2544,4425.615394747795,0.00568506154286514,4495.7,4740.56,4652.198849950335,4317.831150049666,16.232108057254095,-3.4488105945476577,3.515,80.51,3.6815,34718.7,940.95,1832.29,15099.49,176.65,219.96,352.8,23.285,129.1,450.05,533815.0,432.36,138.6,314.6,1999.2
4611.8258000000005,4409.025334017365,0.0058015851168537625,4411.55,4719.19,4645.820651179828,4296.524348820171,14.401120848983368,-4.224708533707167,3.472,82.46,3.6725,34931.4,930.6,1800.27,14919.54,177.57,218.51,348.32,22.846,127.49,435.06,530340.0,424.71,138.07,310.87,1993.5
4601.326,4382.6922057070005,0.006426776054137615,4415.24,4719.55,4651.783867298039,4257.56913270196,12.170298526262656,-5.8855665707280735,3.494,80.44,3.649,35423.8,934.9,1846.6,14664.91,173.97,205.66,346.07,22.79,126.45,423.25,523749.0,420.19,137.0,311.85,1987.5
4589.5253999999995,4353.631866367462,0.006543380620458187,4347.35,4707.09,4660.226804354543,4213.4481956454565,9.059330276503914,-6.715305736592736,3.575,81.02,3.649,34650.6,944.9,1815.13,14409.78,170.77,200.84,338.11,22.952,124.08,407.8,517825.0,411.69,133.09,301.27,1994.3
4577.2570000000005,4324.891579234007,0.006307586117407999,4382.78,4643.7,4663.87449243496,4170.993507565038,9.195186160210397,-5.5474833108544725,3.352,82.31,3.6585,34477.9,939.9,1809.05,14335.51,170.29,197.36,337.31,23.396,124.46,411.61,513065.0,410.08,132.71,302.66,2005.6
4563.9354,4292.965182428775,0.006485025945893227,4378.38,4622.44,4667.792908555117,4123.769091444885,8.33919549785746,-6.746405631403951,3.164,85.54,3.646,33901.8,901.5,1779.54,14180.42,168.22,207.3,329.81,22.774,122.17,405.0,503375.0,397.87,127.74,296.73,1989.0
4551.55,4269.005923593579,0.006674523906667583,4365.98,4604.37,4658.50013188052,4090.850868119479,12.195777589379645,-4.8332892451723675,3.214,83.21,3.5845,34153.7,909.0,1803.13,14109.57,166.89,205.76,327.89,22.795,122.28,403.26,510125.0,403.54,119.57,288.35,1987.9
4540.0146,4256.354243040721,0.007248479648970914,4358.34,4585.59,4638.283477665238,4074.082522334762,20.63235545753558,-4.472275587640706,3.01,85.39,3.591,34496.8,912.4,1787.0,14381.64,171.1,212.42,340.67,22.895,125.61,417.79,512400.0,411.25,121.39,299.53,1985.5
4531.0234,4255.019744111379,0.007858391011129822,4317.78,4549.34,4614.048386923471,4069.2666130765274,33.70198715016009,-2.985122351189251,2.971,83.74,3.624,33917.0,891.9,1784.88,14745.86,173.44,216.52,330.53,22.999,138.81,436.63,516250.0,413.73,128.56,312.55,1976.8
4521.5905999999995,4249.1767065557815,0.00781949828571147,4237.86,4567.18,4584.770328022429,4065.5106719775704,31.290590545234863,-3.41137614006477,2.926,85.49,3.5865,33041.8,905.0,1763.75,14604.85,173.0,212.08,329.32,23.095,136.5,429.75,512500.0,406.84,126.56,314.01,1978.2
4511.9776,4245.327982470277,0.007837912888699214,4193.8,4569.78,4557.951694092617,4063.3433059073836,36.86421701392586,-3.0786950995103757,2.899,88.75,3.563,29674.5,905.1,1603.89,14560.88,172.88,211.99,326.67,23.504,135.6,413.87,511000.0,400.96,125.17,308.65,1994.4
4502.6810000000005,4250.354446705619,0.008201104677895487,4166.82,4594.63,4528.4959477879365,4069.7750522120623,39.24936386768452,-0.921306782652187,2.957,89.37,3.601,28723.0,898.2,1566.79,14783.13,175.46,220.11,331.32,23.031,137.75,421.01,515550.0,401.77,128.4,312.81,1980.5
4493.5764,4260.238377981677,0.00840800523325288,4117.37,4567.78,4498.393684540878,4081.0493154591218,43.861641515244884,1.8108196117852193,3.056,88.32,3.587,28321.7,894.3,1563.43,14909.26,175.84,242.68,330.11,23.099,137.96,421.96,518145.0,346.19,128.13,316.97,1968.3
4485.3733999999995,4277.617089061419,0.0088572823405133,4137.23,4550.58,4473.125327333828,4094.0676726661713,50.6381248674256,4.277743335399875,3.079,86.66,3.5785,28403.6,906.2,1564.99,15122.01,177.15,254.85,332.06,23.024,139.72,439.38,527750.0,355.72,131.47,324.0,1935.7
4477.2144,4292.388306128893,0.008851255034095751,4186.77,4554.89,4466.540473174548,4096.860526825451,51.36882061198546,4.963257352129458,3.109,86.66,3.582,28509.7,899.4,1599.48,15172.73,178.72,253.92,332.64,22.765,139.1,460.95,527475.0,360.82,132.55,321.15,1934.3
4468.275,4297.833182109063,0.009007535561852006,4247.68,4550.43,4452.7642087404865,4101.890791259514,50.88683930471798,5.110300993109673,3.236,87.69,3.571,26863.5,884.2,1552.17,14995.12,178.85,251.12,327.73,22.895,137.36,454.61,522700.0,355.68,129.79,314.69,1941.5
4460.174599999999,4305.798846399976,0.009067367680380573,4217.04,4559.34,4453.069917326757,4101.811082673243,61.04882244764784,5.133386347870439,3.344,82.91,3.591,26761.1,875.8,1539.7,15184.1,180.71,258.87,331.16,21.959,138.97,469.45,524517.0,361.2,132.33,324.16,1883.0
4452.7786,4316.745177723056,0.00917814729649288,4224.16,4556.62,4452.060146754451,4102.237853245548,68.72737683797206,4.542403810097029,3.377,83.49,3.612,26876.6,893.0,1566.88,15241.12,179.8,262.99,332.42,22.133,140.55,468.06,528820.0,365.93,131.83,327.82,1887.3
4445.919599999999,4323.128996534894,0.009180615391644319,4278.0,4538.19,4448.816822423413,4103.467177576586,69.90971875520049,2.602832605092642,3.382,85.97,3.634,27391.0,890.2,1567.6,15131.52,178.39,263.62,328.39,21.953,138.06,457.98,528530.0,373.32,129.48,321.84,1875.3
4437.2654,4325.056843221833,0.009184699671001172,4314.6,4547.38,4444.4893406626115,4104.762659337387,74.04869450258889,2.812873484719147,3.376,86.38,3.646,27581.4,888.8,1579.74,15047.16,178.99,259.67,329.82,21.924,138.42,452.73,523690.0,385.95,128.26,318.36,1864.3
4428.6242,4322.50963657232,0.009163465977265977,4373.2,4514.02,4438.247212301318,4106.020787698682,68.56987964870432,1.9966099768948142,3.338,82.79,3.6275,27936.9,881.5,1645.62,14973.24,177.49,260.53,327.26,21.723,137.58,457.62,525425.0,381.51,127.96,315.43,1845.2
4419.4042,4312.6143078688865,0.009349138450825302,4373.63,4508.24,4433.952894278743,4104.356105721256,57.73077589192923,-0.4630668536699467,3.166,82.31,3.552,27410.3,862.5,1611.58,14723.22,174.91,260.05,319.36,21.019,135.07,446.88,523545.0,372.59,125.96,304.79,1831.8
4410.2882,4305.096722042904,0.009366372657096986,4327.78,4502.88,4434.61789530381,4106.2801046961895,51.97628944585185,-1.1785565289945898,2.962,84.22,3.589,27790.9,874.2,1647.05,14776.25,173.66,261.16,318.95,21.146,135.24,440.41,521675.0,376.9,127.0,305.58,1834.8
4400.7354000000005,4293.458764805534,0.009435862742191924,4349.61,4495.7,4433.6473259084105,4110.815674091589,51.51256612144404,-3.2870666788621605,2.949,89.23,3.621,27428.4,879.6,1656.88,14565.62,172.4,246.53,313.39,21.377,132.43,435.17,521919.0,376.75,124.72,300.94,1841.5
4393.629199999999,4292.678954835452,0.00932234779179219,4376.95,4411.55,4431.982328502494,4124.637671497507,56.95054647765395,-1.948953157903155,2.84,88.82,3.6415,27505.3,886.8,1662.79,14837.57,173.75,251.6,321.8,21.421,134.17,447.82,527960.0,380.33,129.46,306.82,1847.2
4386.9414,4291.96680793769,0.009317959639042934,4358.24,4415.24,4420.543370135937,4153.144629864061,51.22995961326644,-0.9180226351616638,2.929,90.79,3.7375,26909.8,915.9,1667.72,14715.24,171.21,250.22,315.75,22.45,130.86,434.99,531477.0,377.6,127.12,300.21,1866.1
4380.848,4293.156529793429,0.00892819500980806,4335.66,4347.35,4408.633520636679,4181.301479363322,48.05787278415009,-1.147459197491263,2.945,91.71,3.708,27022.6,915.1,1652.89,14702.77,170.69,246.38,313.64,22.741,132.31,430.89,541105.0,376.36,125.98,303.96,1878.6
4374.6264,4290.287832902132,0.00883530980287687,4308.5,4382.78,4401.640708459703,4197.068291540296,35.909077929124294,-2.3404425456082345,2.764,93.68,3.6365,26366.1,896.3,1598.49,14580.16,170.43,240.5,312.79,22.724,130.54,424.68,542495.0,377.59,125.98,297.74,1890.9
4369.1102,4287.709704763342,0.008835812330351986,4258.19,4378.38,4400.815242493416,4200.478757506584,35.730170496664215,-1.9436745108116993,2.656,90.39,3.649,26218.9,914.2,1594.04,14545.83,171.96,244.12,312.14,23.196,128.57,419.11,545870.0,379.25,125.98,298.96,1919.8
